#TENSORS 174
#DATASEG 3957880832
model.embed_tokens.weight | BF16 | [151936,2560] | 0 | 777912320 | 11488310687815391566
model.layers.0.input_layernorm.weight | BF16 | [2560] | 777912320 | 5120 | 11845179802171029298
model.layers.0.mlp.down_proj.weight | BF16 | [2560,9728] | 777917440 | 49807360 | 9329669759429048151
model.layers.0.mlp.gate_proj.weight | BF16 | [9728,2560] | 827724800 | 49807360 | 6073556518327612803
model.layers.0.mlp.up_proj.weight | BF16 | [9728,2560] | 877532160 | 49807360 | 4254565679388702552
model.layers.0.post_attention_layernorm.weight | BF16 | [2560] | 927339520 | 5120 | 15177627475290218473
model.layers.0.self_attn.k_norm.weight | BF16 | [128] | 927344640 | 256 | 11402103917247115044
model.layers.0.self_attn.k_proj.weight | BF16 | [1024,2560] | 927344896 | 5242880 | 17422209187069973380
model.layers.0.self_attn.o_proj.weight | BF16 | [2560,4096] | 932587776 | 20971520 | 17200873203799498033
model.layers.0.self_attn.q_norm.weight | BF16 | [128] | 953559296 | 256 | 9545462867319845891
model.layers.0.self_attn.q_proj.weight | BF16 | [4096,2560] | 953559552 | 20971520 | 11234230334017296928
model.layers.0.self_attn.v_proj.weight | BF16 | [1024,2560] | 974531072 | 5242880 | 3147179675784222748
model.layers.1.input_layernorm.weight | BF16 | [2560] | 979773952 | 5120 | 44096583399854944
model.layers.1.mlp.down_proj.weight | BF16 | [2560,9728] | 979779072 | 49807360 | 12779136221433220332
model.layers.1.mlp.gate_proj.weight | BF16 | [9728,2560] | 1029586432 | 49807360 | 157569424021741872
model.layers.1.mlp.up_proj.weight | BF16 | [9728,2560] | 1079393792 | 49807360 | 5965267698236682673
model.layers.1.post_attention_layernorm.weight | BF16 | [2560] | 1129201152 | 5120 | 8140059260716687142
model.layers.1.self_attn.k_norm.weight | BF16 | [128] | 1129206272 | 256 | 6502442352208360492
model.layers.1.self_attn.k_proj.weight | BF16 | [1024,2560] | 1129206528 | 5242880 | 15818902721187305029
model.layers.1.self_attn.o_proj.weight | BF16 | [2560,4096] | 1134449408 | 20971520 | 16212978968867296407
model.layers.1.self_attn.q_norm.weight | BF16 | [128] | 1155420928 | 256 | 12755277629298040131
model.layers.1.self_attn.q_proj.weight | BF16 | [4096,2560] | 1155421184 | 20971520 | 10488544834239413237
model.layers.1.self_attn.v_proj.weight | BF16 | [1024,2560] | 1176392704 | 5242880 | 6635626286499283895
model.layers.10.input_layernorm.weight | BF16 | [2560] | 1181635584 | 5120 | 10367091372725632491
model.layers.10.mlp.down_proj.weight | BF16 | [2560,9728] | 1181640704 | 49807360 | 12649479834465999450
model.layers.10.mlp.gate_proj.weight | BF16 | [9728,2560] | 1231448064 | 49807360 | 9600057893672587904
model.layers.10.mlp.up_proj.weight | BF16 | [9728,2560] | 1281255424 | 49807360 | 17649816317302111736
model.layers.10.post_attention_layernorm.weight | BF16 | [2560] | 1331062784 | 5120 | 9805041453816167913
model.layers.10.self_attn.k_norm.weight | BF16 | [128] | 1331067904 | 256 | 5787065429572086187
model.layers.10.self_attn.k_proj.weight | BF16 | [1024,2560] | 1331068160 | 5242880 | 1719048789027200565
model.layers.10.self_attn.o_proj.weight | BF16 | [2560,4096] | 1336311040 | 20971520 | 5217348683693318898
model.layers.10.self_attn.q_norm.weight | BF16 | [128] | 1357282560 | 256 | 2764485354337169651
model.layers.10.self_attn.q_proj.weight | BF16 | [4096,2560] | 1357282816 | 20971520 | 14398318204120172841
model.layers.10.self_attn.v_proj.weight | BF16 | [1024,2560] | 1378254336 | 5242880 | 4229679132867485702
model.layers.11.input_layernorm.weight | BF16 | [2560] | 1383497216 | 5120 | 4315235558996139653
model.layers.11.mlp.down_proj.weight | BF16 | [2560,9728] | 1383502336 | 49807360 | 6903759579767881612
model.layers.11.mlp.gate_proj.weight | BF16 | [9728,2560] | 1433309696 | 49807360 | 8987236082089447876
model.layers.11.mlp.up_proj.weight | BF16 | [9728,2560] | 1483117056 | 49807360 | 14282322442282651205
model.layers.11.post_attention_layernorm.weight | BF16 | [2560] | 1532924416 | 5120 | 2538898366659698352
model.layers.11.self_attn.k_norm.weight | BF16 | [128] | 1532929536 | 256 | 13247513163349556914
model.layers.11.self_attn.k_proj.weight | BF16 | [1024,2560] | 1532929792 | 5242880 | 10403498686566209861
model.layers.11.self_attn.o_proj.weight | BF16 | [2560,4096] | 1538172672 | 20971520 | 14430541590049616731
model.layers.11.self_attn.q_norm.weight | BF16 | [128] | 1559144192 | 256 | 4696886461675542692
model.layers.11.self_attn.q_proj.weight | BF16 | [4096,2560] | 1559144448 | 20971520 | 5899587279300919107
model.layers.11.self_attn.v_proj.weight | BF16 | [1024,2560] | 1580115968 | 5242880 | 1695970876471312336
model.layers.12.input_layernorm.weight | BF16 | [2560] | 1585358848 | 5120 | 17310852065558853265
model.layers.12.mlp.down_proj.weight | BF16 | [2560,9728] | 1585363968 | 49807360 | 7278365839523938464
model.layers.12.mlp.gate_proj.weight | BF16 | [9728,2560] | 1635171328 | 49807360 | 1375486688200101358
model.layers.12.mlp.up_proj.weight | BF16 | [9728,2560] | 1684978688 | 49807360 | 13066938778379070095
model.layers.12.post_attention_layernorm.weight | BF16 | [2560] | 1734786048 | 5120 | 1094812843535565815
model.layers.12.self_attn.k_norm.weight | BF16 | [128] | 1734791168 | 256 | 5234720879955116859
model.layers.12.self_attn.k_proj.weight | BF16 | [1024,2560] | 1734791424 | 5242880 | 16743122101574208892
model.layers.12.self_attn.o_proj.weight | BF16 | [2560,4096] | 1740034304 | 20971520 | 9575890683992946426
model.layers.12.self_attn.q_norm.weight | BF16 | [128] | 1761005824 | 256 | 17743144671348257915
model.layers.12.self_attn.q_proj.weight | BF16 | [4096,2560] | 1761006080 | 20971520 | 4359990524059502897
model.layers.12.self_attn.v_proj.weight | BF16 | [1024,2560] | 1781977600 | 5242880 | 12994414824833602378
model.layers.13.input_layernorm.weight | BF16 | [2560] | 1787220480 | 5120 | 2624130613077815619
model.layers.13.mlp.down_proj.weight | BF16 | [2560,9728] | 1787225600 | 49807360 | 3991040762584037426
model.layers.13.mlp.gate_proj.weight | BF16 | [9728,2560] | 1837032960 | 49807360 | 13995271241793167139
model.layers.13.mlp.up_proj.weight | BF16 | [9728,2560] | 1886840320 | 49807360 | 8767116143741472789
model.layers.13.post_attention_layernorm.weight | BF16 | [2560] | 1936647680 | 5120 | 6749678249345097924
model.layers.13.self_attn.k_norm.weight | BF16 | [128] | 1936652800 | 256 | 16444137227522679829
model.layers.13.self_attn.k_proj.weight | BF16 | [1024,2560] | 1936653056 | 5242880 | 3203446539130117325
model.layers.13.self_attn.o_proj.weight | BF16 | [2560,4096] | 1941895936 | 20971520 | 14088308315139452837
model.layers.13.self_attn.q_norm.weight | BF16 | [128] | 1962867456 | 256 | 12104645998368152224
model.layers.13.self_attn.q_proj.weight | BF16 | [4096,2560] | 1962867712 | 20971520 | 17524148656703385508
model.layers.13.self_attn.v_proj.weight | BF16 | [1024,2560] | 1983839232 | 5242880 | 17296193689125828843
model.layers.14.input_layernorm.weight | BF16 | [2560] | 1989082112 | 5120 | 1078444572685345634
model.layers.14.mlp.down_proj.weight | BF16 | [2560,9728] | 1989087232 | 49807360 | 18127159594469102529
model.layers.14.mlp.gate_proj.weight | BF16 | [9728,2560] | 2038894592 | 49807360 | 14025921973026837579
model.layers.14.mlp.up_proj.weight | BF16 | [9728,2560] | 2088701952 | 49807360 | 16384640281339210112
model.layers.14.post_attention_layernorm.weight | BF16 | [2560] | 2138509312 | 5120 | 1732609948786346826
model.layers.14.self_attn.k_norm.weight | BF16 | [128] | 2138514432 | 256 | 12455150881799646193
model.layers.14.self_attn.k_proj.weight | BF16 | [1024,2560] | 2138514688 | 5242880 | 1374717556429101460
model.layers.14.self_attn.o_proj.weight | BF16 | [2560,4096] | 2143757568 | 20971520 | 7260106381304861893
model.layers.14.self_attn.q_norm.weight | BF16 | [128] | 2164729088 | 256 | 16516164305007054284
model.layers.14.self_attn.q_proj.weight | BF16 | [4096,2560] | 2164729344 | 20971520 | 9385576629254968737
model.layers.14.self_attn.v_proj.weight | BF16 | [1024,2560] | 2185700864 | 5242880 | 4953121001513697294
model.layers.15.mlp.gate_proj.weight | BF16 | [9728,2560] | 2190943744 | 49807360 | 7869252918374676426
model.layers.15.mlp.up_proj.weight | BF16 | [9728,2560] | 2240751104 | 49807360 | 12981023362180176506
model.layers.15.self_attn.k_norm.weight | BF16 | [128] | 2290558464 | 256 | 5222045944791423509
model.layers.15.self_attn.k_proj.weight | BF16 | [1024,2560] | 2290558720 | 5242880 | 7588957628068840910
model.layers.15.self_attn.o_proj.weight | BF16 | [2560,4096] | 2295801600 | 20971520 | 13185922355551458232
model.layers.15.self_attn.q_norm.weight | BF16 | [128] | 2316773120 | 256 | 17766695510124036109
model.layers.15.self_attn.q_proj.weight | BF16 | [4096,2560] | 2316773376 | 20971520 | 7274068024305301430
model.layers.15.self_attn.v_proj.weight | BF16 | [1024,2560] | 2337744896 | 5242880 | 15630940695281363810
model.layers.2.input_layernorm.weight | BF16 | [2560] | 2342987776 | 5120 | 17308535954407325626
model.layers.2.mlp.down_proj.weight | BF16 | [2560,9728] | 2342992896 | 49807360 | 13142039863525111693
model.layers.2.mlp.gate_proj.weight | BF16 | [9728,2560] | 2392800256 | 49807360 | 1086028630247079567
model.layers.2.mlp.up_proj.weight | BF16 | [9728,2560] | 2442607616 | 49807360 | 5851538834220878284
model.layers.2.post_attention_layernorm.weight | BF16 | [2560] | 2492414976 | 5120 | 6808783877604531688
model.layers.2.self_attn.k_norm.weight | BF16 | [128] | 2492420096 | 256 | 2370163175375465661
model.layers.2.self_attn.k_proj.weight | BF16 | [1024,2560] | 2492420352 | 5242880 | 1725793396891363045
model.layers.2.self_attn.o_proj.weight | BF16 | [2560,4096] | 2497663232 | 20971520 | 4943357042940400589
model.layers.2.self_attn.q_norm.weight | BF16 | [128] | 2518634752 | 256 | 6347182501943616249
model.layers.2.self_attn.q_proj.weight | BF16 | [4096,2560] | 2518635008 | 20971520 | 2152419720209917724
model.layers.2.self_attn.v_proj.weight | BF16 | [1024,2560] | 2539606528 | 5242880 | 2963106781532233653
model.layers.3.input_layernorm.weight | BF16 | [2560] | 2544849408 | 5120 | 13362239964361018871
model.layers.3.mlp.down_proj.weight | BF16 | [2560,9728] | 2544854528 | 49807360 | 10951882217422175735
model.layers.3.mlp.gate_proj.weight | BF16 | [9728,2560] | 2594661888 | 49807360 | 2662908128602623612
model.layers.3.mlp.up_proj.weight | BF16 | [9728,2560] | 2644469248 | 49807360 | 3965934160057901477
model.layers.3.post_attention_layernorm.weight | BF16 | [2560] | 2694276608 | 5120 | 13752214976420791028
