#TENSORS 219
#DATASEG 3987425280
model.layers.15.input_layernorm.weight | BF16 | [2560] | 0 | 5120 | 12485718328938604937
model.layers.15.mlp.down_proj.weight | BF16 | [2560,9728] | 5120 | 49807360 | 13776503308008546226
model.layers.15.post_attention_layernorm.weight | BF16 | [2560] | 49812480 | 5120 | 5945292821247581429
model.layers.16.input_layernorm.weight | BF16 | [2560] | 49817600 | 5120 | 12541704339757899514
model.layers.16.mlp.down_proj.weight | BF16 | [2560,9728] | 49822720 | 49807360 | 1496644580295815883
model.layers.16.mlp.gate_proj.weight | BF16 | [9728,2560] | 99630080 | 49807360 | 13679160033102799447
model.layers.16.mlp.up_proj.weight | BF16 | [9728,2560] | 149437440 | 49807360 | 557909582577964298
model.layers.16.post_attention_layernorm.weight | BF16 | [2560] | 199244800 | 5120 | 15274401460849697513
model.layers.16.self_attn.k_norm.weight | BF16 | [128] | 199249920 | 256 | 13188593107586114937
model.layers.16.self_attn.k_proj.weight | BF16 | [1024,2560] | 199250176 | 5242880 | 18242630646989591942
model.layers.16.self_attn.o_proj.weight | BF16 | [2560,4096] | 204493056 | 20971520 | 10018555015911255556
model.layers.16.self_attn.q_norm.weight | BF16 | [128] | 225464576 | 256 | 430382951093468100
model.layers.16.self_attn.q_proj.weight | BF16 | [4096,2560] | 225464832 | 20971520 | 17518217405160144862
model.layers.16.self_attn.v_proj.weight | BF16 | [1024,2560] | 246436352 | 5242880 | 5094517117689075498
model.layers.17.input_layernorm.weight | BF16 | [2560] | 251679232 | 5120 | 4617538791728680298
model.layers.17.mlp.down_proj.weight | BF16 | [2560,9728] | 251684352 | 49807360 | 719426455307416692
model.layers.17.mlp.gate_proj.weight | BF16 | [9728,2560] | 301491712 | 49807360 | 4081212075744949987
model.layers.17.mlp.up_proj.weight | BF16 | [9728,2560] | 351299072 | 49807360 | 12796278927967289581
model.layers.17.post_attention_layernorm.weight | BF16 | [2560] | 401106432 | 5120 | 3156676884356754442
model.layers.17.self_attn.k_norm.weight | BF16 | [128] | 401111552 | 256 | 11498508932477783083
model.layers.17.self_attn.k_proj.weight | BF16 | [1024,2560] | 401111808 | 5242880 | 16701996002148422444
model.layers.17.self_attn.o_proj.weight | BF16 | [2560,4096] | 406354688 | 20971520 | 4643221091060048684
model.layers.17.self_attn.q_norm.weight | BF16 | [128] | 427326208 | 256 | 8939586314501529508
model.layers.17.self_attn.q_proj.weight | BF16 | [4096,2560] | 427326464 | 20971520 | 10126946236031050424
model.layers.17.self_attn.v_proj.weight | BF16 | [1024,2560] | 448297984 | 5242880 | 13577661206781283649
model.layers.18.input_layernorm.weight | BF16 | [2560] | 453540864 | 5120 | 5837507439842142958
model.layers.18.mlp.down_proj.weight | BF16 | [2560,9728] | 453545984 | 49807360 | 1808622732110752982
model.layers.18.mlp.gate_proj.weight | BF16 | [9728,2560] | 503353344 | 49807360 | 2041021380886149755
model.layers.18.mlp.up_proj.weight | BF16 | [9728,2560] | 553160704 | 49807360 | 17942770303618502065
model.layers.18.post_attention_layernorm.weight | BF16 | [2560] | 602968064 | 5120 | 4295734041114364715
model.layers.18.self_attn.k_norm.weight | BF16 | [128] | 602973184 | 256 | 15731060627988942248
model.layers.18.self_attn.k_proj.weight | BF16 | [1024,2560] | 602973440 | 5242880 | 756513433373543302
model.layers.18.self_attn.o_proj.weight | BF16 | [2560,4096] | 608216320 | 20971520 | 11551375813627810601
model.layers.18.self_attn.q_norm.weight | BF16 | [128] | 629187840 | 256 | 12151481520040925939
model.layers.18.self_attn.q_proj.weight | BF16 | [4096,2560] | 629188096 | 20971520 | 2698145001719262035
model.layers.18.self_attn.v_proj.weight | BF16 | [1024,2560] | 650159616 | 5242880 | 10311240980802852833
model.layers.19.input_layernorm.weight | BF16 | [2560] | 655402496 | 5120 | 17388024561467187916
model.layers.19.mlp.down_proj.weight | BF16 | [2560,9728] | 655407616 | 49807360 | 12508739220440837350
model.layers.19.mlp.gate_proj.weight | BF16 | [9728,2560] | 705214976 | 49807360 | 4101184317865793845
model.layers.19.mlp.up_proj.weight | BF16 | [9728,2560] | 755022336 | 49807360 | 17646375193343891918
model.layers.19.post_attention_layernorm.weight | BF16 | [2560] | 804829696 | 5120 | 17856816741020826171
model.layers.19.self_attn.k_norm.weight | BF16 | [128] | 804834816 | 256 | 15812429232089678390
model.layers.19.self_attn.k_proj.weight | BF16 | [1024,2560] | 804835072 | 5242880 | 6823767257964830652
model.layers.19.self_attn.o_proj.weight | BF16 | [2560,4096] | 810077952 | 20971520 | 17924441135385680028
model.layers.19.self_attn.q_norm.weight | BF16 | [128] | 831049472 | 256 | 459144709335695417
model.layers.19.self_attn.q_proj.weight | BF16 | [4096,2560] | 831049728 | 20971520 | 3331123373914099252
model.layers.19.self_attn.v_proj.weight | BF16 | [1024,2560] | 852021248 | 5242880 | 6154245659487267303
model.layers.20.input_layernorm.weight | BF16 | [2560] | 857264128 | 5120 | 2907947218046694018
model.layers.20.mlp.down_proj.weight | BF16 | [2560,9728] | 857269248 | 49807360 | 5627105670561245543
model.layers.20.mlp.gate_proj.weight | BF16 | [9728,2560] | 907076608 | 49807360 | 4479843941416400035
model.layers.20.mlp.up_proj.weight | BF16 | [9728,2560] | 956883968 | 49807360 | 6678753461151080271
model.layers.20.post_attention_layernorm.weight | BF16 | [2560] | 1006691328 | 5120 | 1130402885086239393
model.layers.20.self_attn.k_norm.weight | BF16 | [128] | 1006696448 | 256 | 7622007811538066490
model.layers.20.self_attn.k_proj.weight | BF16 | [1024,2560] | 1006696704 | 5242880 | 15535284848609627387
model.layers.20.self_attn.o_proj.weight | BF16 | [2560,4096] | 1011939584 | 20971520 | 15045445552334113490
model.layers.20.self_attn.q_norm.weight | BF16 | [128] | 1032911104 | 256 | 3589565429253329581
model.layers.20.self_attn.q_proj.weight | BF16 | [4096,2560] | 1032911360 | 20971520 | 5287795745302839998
model.layers.20.self_attn.v_proj.weight | BF16 | [1024,2560] | 1053882880 | 5242880 | 4986467728857046942
model.layers.21.input_layernorm.weight | BF16 | [2560] | 1059125760 | 5120 | 15793233309421826602
model.layers.21.mlp.down_proj.weight | BF16 | [2560,9728] | 1059130880 | 49807360 | 18386022124868519650
