#TENSORS 423
#DATASEG 9973681280
all_final_layer.2-1.adaLN_modulation.1.bias | BF16 | [3840] | 0 | 7680 | 112990462805440277
all_final_layer.2-1.adaLN_modulation.1.weight | BF16 | [3840,256] | 7680 | 1966080 | 6549400577920390118
all_final_layer.2-1.linear.bias | BF16 | [64] | 1973760 | 128 | 15074687706017266014
all_final_layer.2-1.linear.weight | BF16 | [64,3840] | 1973888 | 491520 | 2469868866300923549
all_x_embedder.2-1.bias | BF16 | [3840] | 2465408 | 7680 | 8772229031838422674
all_x_embedder.2-1.weight | BF16 | [3840,64] | 2473088 | 491520 | 8653950726775603580
cap_embedder.0.weight | BF16 | [2560] | 2964608 | 5120 | 12023451155217451128
cap_embedder.1.bias | BF16 | [3840] | 2969728 | 7680 | 1611564793725625893
cap_embedder.1.weight | BF16 | [3840,2560] | 2977408 | 19660800 | 13124228758211552883
cap_pad_token | BF16 | [1,3840] | 22638208 | 7680 | 15173206864743956481
context_refiner.0.attention.norm_k.weight | BF16 | [128] | 22645888 | 256 | 5519316496977921889
context_refiner.0.attention.norm_q.weight | BF16 | [128] | 22646144 | 256 | 9971304675513473411
context_refiner.0.attention.to_k.weight | BF16 | [3840,3840] | 22646400 | 29491200 | 14140861585390936658
context_refiner.0.attention.to_out.0.weight | BF16 | [3840,3840] | 52137600 | 29491200 | 10489774316929171050
context_refiner.0.attention.to_q.weight | BF16 | [3840,3840] | 81628800 | 29491200 | 7597659634536813284
context_refiner.0.attention.to_v.weight | BF16 | [3840,3840] | 111120000 | 29491200 | 15434980195467616589
context_refiner.0.attention_norm1.weight | BF16 | [3840] | 140611200 | 7680 | 2438953964651865676
context_refiner.0.attention_norm2.weight | BF16 | [3840] | 140618880 | 7680 | 4351343567569438891
context_refiner.0.feed_forward.w1.weight | BF16 | [10240,3840] | 140626560 | 78643200 | 12611641298569227431
context_refiner.0.feed_forward.w2.weight | BF16 | [3840,10240] | 219269760 | 78643200 | 2819821768008283325
context_refiner.0.feed_forward.w3.weight | BF16 | [10240,3840] | 297912960 | 78643200 | 9492851065570734629
context_refiner.0.ffn_norm1.weight | BF16 | [3840] | 376556160 | 7680 | 9328629277599263011
context_refiner.0.ffn_norm2.weight | BF16 | [3840] | 376563840 | 7680 | 5282442372420445260
context_refiner.1.attention.norm_k.weight | BF16 | [128] | 376571520 | 256 | 966895816983940112
context_refiner.1.attention.norm_q.weight | BF16 | [128] | 376571776 | 256 | 9196097409798464048
context_refiner.1.attention.to_k.weight | BF16 | [3840,3840] | 376572032 | 29491200 | 1362631561523989325
context_refiner.1.attention.to_out.0.weight | BF16 | [3840,3840] | 406063232 | 29491200 | 2583708885435171225
context_refiner.1.attention.to_q.weight | BF16 | [3840,3840] | 435554432 | 29491200 | 8288877554948183580
context_refiner.1.attention.to_v.weight | BF16 | [3840,3840] | 465045632 | 29491200 | 9363010946960793604
