#TENSORS 98
#DATASEG 2336136192
layers.23.adaLN_modulation.0.bias | BF16 | [15360] | 0 | 30720 | 14698223192214783874
layers.23.adaLN_modulation.0.weight | BF16 | [15360,256] | 30720 | 7864320 | 11616226571412948807
layers.23.attention_norm1.weight | BF16 | [3840] | 7895040 | 7680 | 13416544786504496311
layers.23.attention_norm2.weight | BF16 | [3840] | 7902720 | 7680 | 11877704514700934067
layers.23.feed_forward.w2.weight | BF16 | [3840,10240] | 7910400 | 78643200 | 7181633036545357907
layers.23.feed_forward.w3.weight | BF16 | [10240,3840] | 86553600 | 78643200 | 2172864112530586159
layers.23.ffn_norm1.weight | BF16 | [3840] | 165196800 | 7680 | 507581578968758163
layers.23.ffn_norm2.weight | BF16 | [3840] | 165204480 | 7680 | 16175215002723802109
layers.24.adaLN_modulation.0.bias | BF16 | [15360] | 165212160 | 30720 | 4122715242081812305
layers.24.adaLN_modulation.0.weight | BF16 | [15360,256] | 165242880 | 7864320 | 7930460891656772499
layers.24.attention.norm_k.weight | BF16 | [128] | 173107200 | 256 | 23438406136279953
layers.24.attention.norm_q.weight | BF16 | [128] | 173107456 | 256 | 13177649170237060073
layers.24.attention.to_k.weight | BF16 | [3840,3840] | 173107712 | 29491200 | 7184752172466775001
layers.24.attention.to_out.0.weight | BF16 | [3840,3840] | 202598912 | 29491200 | 16007446729723374416
layers.24.attention.to_q.weight | BF16 | [3840,3840] | 232090112 | 29491200 | 7092488513172779614
layers.24.attention.to_v.weight | BF16 | [3840,3840] | 261581312 | 29491200 | 388736880845676656
layers.24.attention_norm1.weight | BF16 | [3840] | 291072512 | 7680 | 17797632671788599837
layers.24.attention_norm2.weight | BF16 | [3840] | 291080192 | 7680 | 9951973518409060328
layers.24.feed_forward.w1.weight | BF16 | [10240,3840] | 291087872 | 78643200 | 14131330188045751221
layers.24.feed_forward.w2.weight | BF16 | [3840,10240] | 369731072 | 78643200 | 1100656856173297904
layers.24.feed_forward.w3.weight | BF16 | [10240,3840] | 448374272 | 78643200 | 16142517755186636653
layers.24.ffn_norm1.weight | BF16 | [3840] | 527017472 | 7680 | 13089155135988691494
layers.24.ffn_norm2.weight | BF16 | [3840] | 527025152 | 7680 | 15438724370309894461
layers.25.adaLN_modulation.0.bias | BF16 | [15360] | 527032832 | 30720 | 16192906857805033808
layers.25.adaLN_modulation.0.weight | BF16 | [15360,256] | 527063552 | 7864320 | 17727698238575622725
layers.25.attention.norm_k.weight | BF16 | [128] | 534927872 | 256 | 16599239353956711438
layers.25.attention.norm_q.weight | BF16 | [128] | 534928128 | 256 | 9921960177748503672
layers.25.attention.to_k.weight | BF16 | [3840,3840] | 534928384 | 29491200 | 8717644983531487304
layers.25.attention.to_out.0.weight | BF16 | [3840,3840] | 564419584 | 29491200 | 2349428239762098882
layers.25.attention.to_q.weight | BF16 | [3840,3840] | 593910784 | 29491200 | 12163813464179903973
layers.25.attention.to_v.weight | BF16 | [3840,3840] | 623401984 | 29491200 | 11633240339670544820
layers.25.attention_norm1.weight | BF16 | [3840] | 652893184 | 7680 | 12773520068794954489
layers.25.attention_norm2.weight | BF16 | [3840] | 652900864 | 7680 | 4820202508661290450
layers.25.feed_forward.w1.weight | BF16 | [10240,3840] | 652908544 | 78643200 | 5883445199902776779
layers.25.feed_forward.w2.weight | BF16 | [3840,10240] | 731551744 | 78643200 | 3616103795006145186
layers.25.feed_forward.w3.weight | BF16 | [10240,3840] | 810194944 | 78643200 | 17495289805652526237
layers.25.ffn_norm1.weight | BF16 | [3840] | 888838144 | 7680 | 7247483592022825882
layers.25.ffn_norm2.weight | BF16 | [3840] | 888845824 | 7680 | 13108566784311097734
layers.26.adaLN_modulation.0.bias | BF16 | [15360] | 888853504 | 30720 | 5051249752864753827
layers.26.adaLN_modulation.0.weight | BF16 | [15360,256] | 888884224 | 7864320 | 16199993814697883396
layers.26.attention.norm_k.weight | BF16 | [128] | 896748544 | 256 | 3767520305784904277
layers.26.attention.norm_q.weight | BF16 | [128] | 896748800 | 256 | 8425149842480011682
layers.26.attention.to_k.weight | BF16 | [3840,3840] | 896749056 | 29491200 | 16836439902544517549
layers.26.attention.to_out.0.weight | BF16 | [3840,3840] | 926240256 | 29491200 | 2967583915944787222
layers.26.attention.to_q.weight | BF16 | [3840,3840] | 955731456 | 29491200 | 2465940351591797566
layers.26.attention.to_v.weight | BF16 | [3840,3840] | 985222656 | 29491200 | 3505563114097606172
layers.26.attention_norm1.weight | BF16 | [3840] | 1014713856 | 7680 | 5262876351806324952
layers.26.attention_norm2.weight | BF16 | [3840] | 1014721536 | 7680 | 4223427260460626135
layers.26.feed_forward.w1.weight | BF16 | [10240,3840] | 1014729216 | 78643200 | 123887691688571806
layers.26.feed_forward.w2.weight | BF16 | [3840,10240] | 1093372416 | 78643200 | 11784320996362242347
layers.26.feed_forward.w3.weight | BF16 | [10240,3840] | 1172015616 | 78643200 | 795853498730167509
layers.26.ffn_norm1.weight | BF16 | [3840] | 1250658816 | 7680 | 5214533232889794348
layers.26.ffn_norm2.weight | BF16 | [3840] | 1250666496 | 7680 | 5171069836549678741
layers.27.adaLN_modulation.0.bias | BF16 | [15360] | 1250674176 | 30720 | 1417672001542234638
layers.27.adaLN_modulation.0.weight | BF16 | [15360,256] | 1250704896 | 7864320 | 6142025279042597753
layers.27.attention.norm_k.weight | BF16 | [128] | 1258569216 | 256 | 8629804862403543322
layers.27.attention.norm_q.weight | BF16 | [128] | 1258569472 | 256 | 5502985131104713657
layers.27.attention.to_k.weight | BF16 | [3840,3840] | 1258569728 | 29491200 | 5120162596186480453
layers.27.attention.to_out.0.weight | BF16 | [3840,3840] | 1288060928 | 29491200 | 12933353161848075652
layers.27.attention.to_q.weight | BF16 | [3840,3840] | 1317552128 | 29491200 | 2933313507617226749
layers.27.attention.to_v.weight | BF16 | [3840,3840] | 1347043328 | 29491200 | 8326226633995319404
layers.27.attention_norm1.weight | BF16 | [3840] | 1376534528 | 7680 | 17077839172169847225
layers.27.attention_norm2.weight | BF16 | [3840] | 1376542208 | 7680 | 16406034736605807997
layers.27.feed_forward.w1.weight | BF16 | [10240,3840] | 1376549888 | 78643200 | 13471629649870515082
layers.27.feed_forward.w2.weight | BF16 | [3840,10240] | 1455193088 | 78643200 | 2291188404352481468
layers.27.feed_forward.w3.weight | BF16 | [10240,3840] | 1533836288 | 78643200 | 4535012901849439589
layers.27.ffn_norm1.weight | BF16 | [3840] | 1612479488 | 7680 | 6219480577048349135
layers.27.ffn_norm2.weight | BF16 | [3840] | 1612487168 | 7680 | 5841437100506873919
layers.28.adaLN_modulation.0.bias | BF16 | [15360] | 1612494848 | 30720 | 9002352012640114250
layers.28.adaLN_modulation.0.weight | BF16 | [15360,256] | 1612525568 | 7864320 | 14194200565776020022
layers.28.attention.norm_k.weight | BF16 | [128] | 1620389888 | 256 | 9420938943441082827
layers.28.attention.norm_q.weight | BF16 | [128] | 1620390144 | 256 | 6993164428669206355
layers.28.attention.to_k.weight | BF16 | [3840,3840] | 1620390400 | 29491200 | 486333721647854436
layers.28.attention.to_out.0.weight | BF16 | [3840,3840] | 1649881600 | 29491200 | 16031345440580285952
layers.28.attention.to_q.weight | BF16 | [3840,3840] | 1679372800 | 29491200 | 1184519563759007247
layers.28.attention.to_v.weight | BF16 | [3840,3840] | 1708864000 | 29491200 | 2335842294671569023
layers.28.attention_norm1.weight | BF16 | [3840] | 1738355200 | 7680 | 4015751809056280017
layers.28.attention_norm2.weight | BF16 | [3840] | 1738362880 | 7680 | 13411207538805932868
layers.28.feed_forward.w1.weight | BF16 | [10240,3840] | 1738370560 | 78643200 | 4346482454696245143
layers.28.feed_forward.w2.weight | BF16 | [3840,10240] | 1817013760 | 78643200 | 10671123313970167960
layers.28.feed_forward.w3.weight | BF16 | [10240,3840] | 1895656960 | 78643200 | 8746007299721402472
layers.28.ffn_norm1.weight | BF16 | [3840] | 1974300160 | 7680 | 2511839226461089362
layers.28.ffn_norm2.weight | BF16 | [3840] | 1974307840 | 7680 | 11311877429502713156
layers.29.adaLN_modulation.0.bias | BF16 | [15360] | 1974315520 | 30720 | 17443468905362879477
layers.29.adaLN_modulation.0.weight | BF16 | [15360,256] | 1974346240 | 7864320 | 1269282114776594973
layers.29.attention.norm_k.weight | BF16 | [128] | 1982210560 | 256 | 4438025805042924791
layers.29.attention.norm_q.weight | BF16 | [128] | 1982210816 | 256 | 16017579876145978913
layers.29.attention.to_k.weight | BF16 | [3840,3840] | 1982211072 | 29491200 | 14260591403418667527
layers.29.attention.to_out.0.weight | BF16 | [3840,3840] | 2011702272 | 29491200 | 11606409203680565395
layers.29.attention.to_q.weight | BF16 | [3840,3840] | 2041193472 | 29491200 | 15982290359653889536
layers.29.attention.to_v.weight | BF16 | [3840,3840] | 2070684672 | 29491200 | 8078300542771553260
layers.29.attention_norm1.weight | BF16 | [3840] | 2100175872 | 7680 | 7761437600608395118
layers.29.attention_norm2.weight | BF16 | [3840] | 2100183552 | 7680 | 6157127816663201210
