#TENSORS 244
#DATASEG 167639366
decoder.conv_in.bias | BF16 | [512] | 0 | 1024 | 15329864874268555858
decoder.conv_in.weight | BF16 | [512,16,3,3] | 1024 | 147456 | 13183303825883384703
decoder.conv_norm_out.bias | BF16 | [128] | 148480 | 256 | 11850984563522255838
decoder.conv_norm_out.weight | BF16 | [128] | 148736 | 256 | 8376193415361804960
decoder.conv_out.bias | BF16 | [3] | 148992 | 6 | 1708618464915163849
decoder.conv_out.weight | BF16 | [3,128,3,3] | 148998 | 6912 | 13328965520378577261
decoder.mid_block.attentions.0.group_norm.bias | BF16 | [512] | 155910 | 1024 | 18025879645455623845
decoder.mid_block.attentions.0.group_norm.weight | BF16 | [512] | 156934 | 1024 | 11137538261932598427
decoder.mid_block.attentions.0.to_k.bias | BF16 | [512] | 157958 | 1024 | 14914279201077721400
decoder.mid_block.attentions.0.to_k.weight | BF16 | [512,512] | 158982 | 524288 | 961072382991653809
decoder.mid_block.attentions.0.to_out.0.bias | BF16 | [512] | 683270 | 1024 | 12904686191759520656
decoder.mid_block.attentions.0.to_out.0.weight | BF16 | [512,512] | 684294 | 524288 | 12180465358856065674
decoder.mid_block.attentions.0.to_q.bias | BF16 | [512] | 1208582 | 1024 | 2669467157887705913
decoder.mid_block.attentions.0.to_q.weight | BF16 | [512,512] | 1209606 | 524288 | 3201992426188882095
decoder.mid_block.attentions.0.to_v.bias | BF16 | [512] | 1733894 | 1024 | 17066887480838741162
decoder.mid_block.attentions.0.to_v.weight | BF16 | [512,512] | 1734918 | 524288 | 15221627859060462603
decoder.mid_block.resnets.0.conv1.bias | BF16 | [512] | 2259206 | 1024 | 16947014364874147976
decoder.mid_block.resnets.0.conv1.weight | BF16 | [512,512,3,3] | 2260230 | 4718592 | 16654519838444960041
decoder.mid_block.resnets.0.conv2.bias | BF16 | [512] | 6978822 | 1024 | 9106000697092447055
decoder.mid_block.resnets.0.conv2.weight | BF16 | [512,512,3,3] | 6979846 | 4718592 | 2498859118440607441
decoder.mid_block.resnets.0.norm1.bias | BF16 | [512] | 11698438 | 1024 | 10064680719772133023
decoder.mid_block.resnets.0.norm1.weight | BF16 | [512] | 11699462 | 1024 | 6987272509609884035
decoder.mid_block.resnets.0.norm2.bias | BF16 | [512] | 11700486 | 1024 | 2628939373740461075
decoder.mid_block.resnets.0.norm2.weight | BF16 | [512] | 11701510 | 1024 | 9426325380346688427
decoder.mid_block.resnets.1.conv1.bias | BF16 | [512] | 11702534 | 1024 | 16707213636823077047
decoder.mid_block.resnets.1.conv1.weight | BF16 | [512,512,3,3] | 11703558 | 4718592 | 6729991376362881102
decoder.mid_block.resnets.1.conv2.bias | BF16 | [512] | 16422150 | 1024 | 910553813841689613
decoder.mid_block.resnets.1.conv2.weight | BF16 | [512,512,3,3] | 16423174 | 4718592 | 533402404393721791
decoder.mid_block.resnets.1.norm1.bias | BF16 | [512] | 21141766 | 1024 | 15369088837579639831
decoder.mid_block.resnets.1.norm1.weight | BF16 | [512] | 21142790 | 1024 | 12690450681755356056
decoder.mid_block.resnets.1.norm2.bias | BF16 | [512] | 21143814 | 1024 | 5096564599170094693
decoder.mid_block.resnets.1.norm2.weight | BF16 | [512] | 21144838 | 1024 | 15857312217419303880
decoder.up_blocks.0.resnets.0.conv1.bias | BF16 | [512] | 21145862 | 1024 | 79860043885069979
decoder.up_blocks.0.resnets.0.conv1.weight | BF16 | [512,512,3,3] | 21146886 | 4718592 | 8274193320053558624
decoder.up_blocks.0.resnets.0.conv2.bias | BF16 | [512] | 25865478 | 1024 | 3162842442139334717
