a photorealistic portrait of a young woman with freckles, golden hour lighting, shot on Kodak Portra 400, shallow depth of field, bokeh background, highly detailed skin texture	64,4503,89768,4532,33033,315,264,3908,5220,448,3457,377,642,11,20748,6460,17716,11,6552,389,67302,585,5776,956,220,19,15,15,11,25600,7990,315,2070,11,708,70617,4004,11,7548,11682,6787,10434
epic fantasy landscape, towering snow-capped mountains, a winding river, dramatic storm clouds, volumetric god rays, ultra wide angle, 8k, trending on artstation	747,292,18378,18414,11,86694,11794,1786,5677,23501,11,264,53726,14796,11,21771,13458,29514,11,62820,16340,9886,44120,11,23998,6884,9210,11,220,23,74,11,50850,389,1947,20155
cyberpunk city street at night, neon signs reflecting in puddles, rain, a lone figure in a trench coat, cinematic, blade runner aesthetic, moody atmosphere	11130,652,75509,3283,8592,518,3729,11,46652,11929,41752,304,54582,642,11,11174,11,264,46666,7071,304,264,53252,22875,11,64665,11,24838,22259,36537,11,4544,1076,16566
cute corgi puppy wearing a tiny wizard hat, studio lighting, white background, product photography, adorable, fluffy	66,1070,272,1775,72,41189,12233,264,13673,33968,8896,11,14029,17716,11,4158,4004,11,1985,23751,11,40608,11,67561
(masterpiece:1.2), (best quality:1.4), 1girl, solo, long hair	54394,22362,25,16,13,17,701,320,15862,4271,25,16,13,19,701,220,16,28552,11,13529,11,1293,6869
((detailed eyes)), (sharp focus:1.1), portrait, [blurry:0.5]	1188,67,10111,6414,5731,320,52917,5244,25,16,13,16,701,33033,11,508,33542,884,25,15,13,20,60
a cat:1.3 and a dog:0.7 sitting together	64,8251,25,16,13,18,323,264,5562,25,15,13,22,11699,3786
{red|blue|green} dress, wildcard prompt	90,1151,91,12203,91,13250,92,8511,11,59104,9934
lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality	10303,416,11,3873,61590,11,3873,6078,11,1467,11,1465,11,7402,19225,11,4960,15723,11,16745,18509,11,60143,11,11785,4271,11,3347,4271
a beautiful 桜 cherry blossom tree in 京都 Kyoto Japan	64,6233,6567,94,250,40880,88758,4916,304,220,115806,81022,6323
cute 猫 cat with 大きな big eyes, kawaii style	66,1070,10236,234,104,8251,448,40666,100,49734,25770,2409,6414,11,595,70954,1707
한국 traditional 한복 hanbok dress, elegant	23573,124785,8606,61298,97834,19001,65,562,8511,11,25777
中文 prompt with English mixed 测试 test 123	104811,9934,448,6364,9519,98313,66635,1273,220,16,17,18
ロボット robot in a 未来 future city, anime style	41534,125065,65975,12305,304,264,220,100353,3853,3283,11,22809,1707
amazing!!! incredible!!! wow???	309,6657,12069,15050,12069,35665,33015
wait... what?? really...!!	11489,1112,1128,7646,2167,1112,2928
so good~~~ love it<3<3	704,1661,5817,93,2948,432,27,18,27,18
----- divider ----- text	15081,48695,34703,1467
###### heading ######	77129,14496,26274,565
